j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
0,[1],0.198,0.192,0.156,152,46,0.7676767676767677
1,[0],0.606,0.297,0.189,485,121,0.8003300330033003
2,[0],0.164,0.031,0.005,160,4,0.975609756097561
3,[0],0.027,0.027,0.009,20,7,0.7407407407407407
4,[0],0.029,0.029,0.009,26,3,0.896551724137931
5,[0],0.057,0.057,0.012,49,8,0.8596491228070176
6,[0],0.021,0.021,0.01,18,3,0.8571428571428572
7,[0],0.016,0.016,0.01,12,4,0.75
8,[0],0.015,0.014,0.006,12,3,0.8
9,[0],0.047,0.045,0.016,35,12,0.7446808510638298
10,[1],0.087,0.087,0.085,74,13,0.8505747126436782
11,[1],0.052,0.052,0.047,42,10,0.8076923076923077
12,[1],0.08,0.08,0.055,64,16,0.8
13,[0],0.026,0.026,0.022,23,3,0.8846153846153846
14,[0],0.057,0.056,0.012,49,8,0.8596491228070176
15,[1],0.035,0.034,0.03,26,9,0.7428571428571429
16,[1],0.098,0.096,0.092,69,29,0.7040816326530612
17,[1],0.022,0.022,0.022,20,2,0.9090909090909092
18,[1],0.026,0.026,0.015,21,5,0.8076923076923077
19,[1],0.011,0.01,0.01,8,3,0.7272727272727273
20,[1],0.053,0.053,0.05,41,12,0.7735849056603774
21,[1],0.032,0.032,0.03,25,7,0.78125
22,[1],0.022,0.022,0.015,16,6,0.7272727272727273
23,[1],0.049,0.049,0.045,39,10,0.7959183673469388
